NOTA_CN,NOTA_CH,NOTA_LC,NOTA_MT,NU_NOTA_REDACAO,IDX
400,400,600,400,400,150553
400,400,600,400,600,150554
400,400,400,400,400,150555
400,400,400,400,400,150556
400,400,400,600,400,150557
600,600,600,600,800,150558
400,400,400,400,400,150559
400,600,400,600,600,150560
400,400,400,600,400,150561
600,600,600,600,800,150562
400,400,400,400,400,150563
400,600,400,400,400,150564
400,400,400,600,600,150565
400,400,400,600,400,150566
400,600,400,400,600,150567
400,600,600,600,400,150568
600,600,600,800,800,150569
400,400,400,400,0,150570
400,400,400,400,600,150571
400,600,400,400,400,150572
400,400,400,400,400,150573
400,600,600,600,400,150574
400,600,600,600,400,150575
400,400,400,400,400,150576
400,400,400,600,400,150577
400,400,400,400,400,150578
400,400,400,400,200,150579
400,600,400,600,200,150580
600,600,600,600,800,150581
600,400,600,400,400,150582
400,400,400,400,400,150583
400,600,400,600,600,150584
400,400,600,600,600,150585
400,400,400,600,600,150586
400,400,400,400,400,150587
600,600,600,600,600,150588
400,400,400,600,600,150589
400,600,600,400,600,150590
400,400,400,400,400,150591
400,600,600,400,800,150592
600,600,600,400,800,150593
400,400,400,400,400,150594
400,600,400,600,600,150595
400,400,400,400,600,150596
600,600,600,600,600,150597
600,400,600,600,600,150598
600,600,600,600,600,150599
400,600,600,600,600,150600
400,600,400,400,400,150601
600,600,600,600,600,150602
400,600,600,600,400,150603
400,600,600,400,600,150604
600,600,600,600,400,150605
400,400,400,400,400,150606
400,600,400,400,0,150607
400,600,600,600,600,150608
400,600,400,600,400,150609
400,400,400,600,600,150610
400,400,400,400,400,150611
400,600,400,600,600,150612
400,600,400,400,400,150613
400,600,400,400,400,150614
600,600,600,600,600,150615
400,600,400,600,400,150616
400,600,400,400,400,150617
400,400,400,400,400,150618
400,600,400,600,600,150619
400,400,600,400,400,150620
400,400,400,400,200,150621
600,400,400,400,400,150622
400,600,400,600,600,150623
400,400,400,600,600,150624
400,400,400,600,400,150625
400,600,600,400,600,150626
400,400,400,400,400,150627
600,600,600,600,600,150628
400,600,600,600,600,150629
400,400,400,400,200,150630
400,400,400,400,600,150631
400,400,400,400,600,150632
400,400,600,600,400,150633
400,600,600,400,800,150634
600,600,600,800,600,150635
600,600,600,800,800,150636
400,600,400,600,600,150637
400,600,600,600,600,150638
400,400,400,600,200,150639
400,400,400,600,400,150640
600,600,600,400,600,150641
400,400,400,400,400,150642
400,400,400,400,400,150643
400,400,400,400,0,150644
400,600,600,400,600,150645
400,600,400,400,400,150646
600,600,600,800,800,150647
400,600,400,400,600,150648
600,600,600,600,600,150649
600,600,600,600,600,150650
400,400,400,400,400,150651
400,400,400,400,600,150652
400,400,400,400,400,150653
400,400,400,400,600,150654
400,400,400,400,600,150655
400,600,600,600,400,150656
400,600,600,400,400,150657
400,600,600,600,600,150658
400,400,400,400,600,150659
400,400,400,400,400,150660
400,400,600,600,800,150661
400,600,400,600,400,150662
400,400,400,400,400,150663
600,400,400,600,600,150664
600,600,600,600,600,150665
400,400,400,600,400,150666
400,400,400,400,0,150667
400,600,400,600,400,150668
400,600,400,600,400,150669
400,600,400,400,600,150670
600,600,400,600,400,150671
400,400,400,400,0,150672
600,600,600,600,800,150673
400,400,400,400,600,150674
400,400,400,400,400,150675
400,600,400,600,400,150676
600,600,600,600,600,150677
600,600,600,800,800,150678
400,600,600,400,200,150679
400,600,400,600,400,150680
400,600,400,400,600,150681
400,600,600,400,800,150682
600,600,400,600,400,150683
400,400,400,400,200,150684
400,400,400,400,0,150685
400,400,400,400,0,150686
400,600,600,600,400,150687
400,400,400,400,400,150688
400,400,400,400,400,150689
600,600,600,600,400,150690
400,400,400,400,200,150691
400,400,400,400,0,150692
400,400,400,400,400,150693
400,600,400,400,1000,150694
400,400,400,600,400,150695
600,600,600,600,400,150696
400,600,400,400,600,150697
400,400,400,600,400,150698
400,600,600,400,400,150699
400,600,600,400,600,150700
400,400,600,600,400,150701
600,400,400,600,400,150702
400,400,400,400,600,150703
400,600,400,400,400,150704
600,600,600,600,600,150705
400,400,400,400,400,150706
600,600,600,600,800,150707
400,400,400,600,600,150708
400,400,400,600,200,150709
600,600,600,600,600,150710
600,600,600,600,400,150711
400,600,600,400,600,150712
400,400,400,400,0,150713
400,600,600,400,800,150714
400,400,400,400,400,150715
400,600,400,600,0,150716
400,400,400,400,200,150717
400,600,400,400,400,150718
400,600,400,600,200,150719
400,400,400,400,200,150720
600,400,400,400,400,150721
400,600,600,400,800,150722
400,400,400,400,400,150723
400,600,600,400,600,150724
400,600,400,600,400,150725
400,400,400,600,600,150726
600,600,600,600,600,150727
400,400,400,400,400,150728
600,600,600,600,600,150729
400,600,400,400,600,150730
600,600,600,600,600,150731
400,400,400,400,400,150732
600,800,600,800,600,150733
400,400,400,600,600,150734
400,400,400,600,400,150735
400,600,400,400,400,150736
