UF_RESIDENCIA,IDADE,TP_SEXO,ST_CONCLUSAO,ANO_CONCLUIU,TP_ESCOLA,TP_ESTADO_CIVIL,TP_COR_RACA,IDX
11,23,0,2,0,1,0,3,150433
13,17,0,2,0,1,0,3,150434
13,17,1,3,0,0,0,3,150435
16,18,1,2,0,2,0,1,150436
5,18,0,2,0,1,0,3,150437
14,49,0,1,2004,0,0,3,150438
7,45,0,1,2004,0,1,1,150439
19,17,1,2,0,2,0,1,150440
13,21,0,1,2010,0,0,2,150441
5,22,0,1,2009,0,0,2,150442
18,28,0,1,2004,0,1,1,150443
13,19,0,1,2012,0,0,3,150444
23,20,1,3,0,0,0,5,150445
16,16,0,3,0,0,0,1,150446
2,19,0,1,2012,0,0,3,150447
13,24,0,1,2006,0,0,4,150448
6,16,0,3,0,0,0,3,150449
25,21,0,1,2011,0,0,3,150450
21,17,0,2,0,1,0,1,150451
25,20,1,1,2011,0,0,3,150452
25,18,0,2,0,1,0,1,150453
16,15,1,3,0,0,0,1,150454
19,19,0,2,0,1,0,3,150455
8,23,0,1,2008,0,0,1,150456
25,34,0,1,2004,0,1,1,150457
13,27,0,1,2007,0,0,1,150458
8,19,1,1,2012,0,0,3,150459
25,16,1,3,0,0,0,3,150460
21,17,1,2,0,1,0,1,150461
25,17,0,2,0,1,0,1,150462
13,37,1,1,2011,0,1,3,150463
13,31,1,1,2004,0,1,2,150464
13,26,0,1,2007,0,0,1,150465
26,23,0,1,2006,0,0,1,150466
15,16,0,2,0,1,0,3,150467
5,22,0,4,0,0,1,3,150468
25,18,0,1,2011,0,1,1,150469
5,17,0,3,0,0,0,1,150470
6,17,1,3,0,0,0,3,150471
26,16,1,3,0,0,0,3,150472
2,32,0,1,2004,0,0,3,150473
16,20,0,1,2010,0,0,1,150474
15,15,0,3,0,0,0,3,150475
6,33,1,1,2004,0,1,1,150476
24,16,1,3,0,0,0,1,150477
6,16,0,3,0,0,0,1,150478
17,21,1,1,2011,0,0,4,150479
19,15,0,3,0,0,0,1,150480
25,17,1,2,0,1,0,1,150481
19,21,0,1,2010,0,0,3,150482
25,16,1,3,0,0,0,3,150483
5,28,1,1,2006,0,0,3,150484
22,33,0,1,2004,0,1,3,150485
6,21,0,1,2009,0,0,3,150486
26,20,0,1,2010,0,0,3,150487
16,17,1,2,0,1,0,1,150488
17,15,1,3,0,0,0,3,150489
19,18,1,3,0,0,0,2,150490
20,32,0,1,2004,0,1,3,150491
19,18,1,1,2012,0,0,1,150492
13,15,0,3,0,0,0,1,150493
12,16,0,3,0,0,0,4,150494
22,24,1,1,2007,0,0,3,150495
17,16,0,3,0,0,0,1,150496
13,37,0,1,2005,0,1,3,150497
25,17,1,2,0,1,0,1,150498
9,17,0,2,0,1,0,3,150499
16,20,1,1,2010,0,0,1,150500
4,37,0,1,2004,0,1,3,150501
5,17,0,1,2012,0,0,3,150502
6,15,1,3,0,0,0,5,150503
19,22,0,1,2009,0,0,1,150504
19,18,0,2,0,1,0,1,150505
13,17,0,2,0,1,0,1,150506
25,15,0,3,0,0,0,4,150507
6,21,0,1,2009,0,0,3,150508
19,18,1,2,0,2,0,1,150509
